Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Sales growth 10Years,Sales growth 7Years,Sales growth 5Years
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,18377.00,99.16,26.49,166342.20,73.15,6.59,-0.15,12.89,-0.02,31.46,36.79,0.24,3.46,9837.74,398.63,2499.19,5448.72,0.00,0.00,1.76,28.70,43.47,30.23,26.30,21.11,21.89,31.36
Solex Energy,,SOLEX,INE880Y01017,Electrical Equipment,Heavy Electrical Equipment,1396.50,17.02,6.20,1508.57,66.15,0.13,-0.12,0.81,-0.17,44.13,34.04,1.33,0.08,1555.28,-44.71,148.55,164.08,0.00,-4.50,0.00,211.65,98.99,39.41,44.60,42.09,39.79,81.20
Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components,Auto Components & Equipments,594.65,54.02,6.33,36985.80,28.02,23.70,-0.19,41.46,0.72,12.19,15.78,0.06,2.56,4123.67,120.59,926.78,2882.11,0.00,-4.98,0.00,18.71,22.73,-15.69,25.78,27.43,28.85,24.12
Swaraj Engines,500407,SWARAJENG,INE277A01016,Industrial Products,"Compressors, Pumps & Diesel Engines",3741.20,22.81,9.30,4535.35,52.11,2.82,-0.33,9.09,-0.65,43.79,58.72,0.00,1.60,2007.13,45.83,267.37,668.66,-0.01,-0.02,0.00,14.28,16.63,13.40,14.77,14.33,12.65,15.26
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,2037.35,57.95,10.89,4064.52,51.81,0.03,-0.07,0.33,-0.06,20.47,23.66,0.25,6.73,711.07,-116.83,96.94,197.34,0.00,0.00,0.00,8.70,32.40,10.07,36.82,18.22,18.11,36.90
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,493.15,46.80,13.41,7840.83,60.92,5.37,0.41,21.00,0.48,29.60,36.72,0.09,1.24,829.04,52.23,221.84,814.91,-0.01,-10.22,100.00,37.57,9.19,10.68,12.74,13.15,10.86,10.88
Titan Company,500114,TITAN,INE280A01028,Consumer Durables,"Gems, Jewellery And Watches",4159.20,71.70,23.51,369143.97,52.90,15.65,0.10,14.84,0.01,37.68,25.80,0.93,4.33,87584.00,234.40,8082.00,7390.00,0.00,0.00,0.00,16.54,39.88,20.36,22.47,22.75,23.69,32.26
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1118.50,53.10,9.46,64624.14,68.37,8.96,-0.87,16.89,0.92,19.38,19.70,0.40,2.28,19657.59,-459.38,1830.97,4956.68,-0.04,-1.69,0.00,23.03,41.21,22.00,25.74,22.77,18.74,25.26
Vadilal Inds.,519156,VADILALIND,INE694D01016,Food Products,Dairy Products,4369.70,25.62,4.00,3131.98,64.73,0.58,0.02,0.42,0.00,24.00,25.11,0.26,0.52,1359.70,56.66,174.70,475.60,0.00,0.00,7.57,49.16,29.24,37.86,54.88,11.79,12.37,15.62
Vesuvius India,520113,VESUVIUS,INE386A01023,Industrial Products,Electrodes & Refractories,466.45,36.15,5.69,9422.71,55.57,4.56,0.12,22.03,0.12,15.02,21.34,0.01,1.40,2121.96,51648.74,353.01,673.12,0.00,0.00,0.00,25.80,34.39,14.08,12.20,11.64,12.46,21.60
Vishnu Chemicals,516072,VISHNU,INE270I01022,Chemicals & Petrochemicals,Specialty Chemicals,603.45,29.48,4.06,4062.48,69.21,2.30,0.10,5.72,0.01,15.54,18.07,0.42,1.86,1552.03,-388.14,226.32,453.71,0.00,-5.79,0.00,11.31,38.24,34.06,17.76,13.22,12.28,16.52
Volt.Transform.,532757,VOLTAMP,INE540H01012,Electrical Equipment,Heavy Electrical Equipment,9213.00,30.50,5.20,9313.31,30.00,22.82,1.04,31.66,0.28,18.07,24.08,0.00,1.93,2153.69,74.90,407.25,808.72,0.00,-20.00,0.00,15.82,27.26,20.49,23.74,14.35,14.62,25.48
Websol Energy,517498,WEBELSOLAR,INE855C01023,Electrical Equipment,Other Electrical Equipment,111.11,15.84,7.65,4816.85,29.72,4.12,-1.28,0.32,0.01,66.94,63.18,0.21,0.10,1049.44,-541.66,376.83,445.49,2.01,2.96,89.39,145.67,86.30,36.93,36.23,14.14,47.66,46.86
Windlas Biotech,543329,WINDLAS,INE0H5O01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,785.25,24.33,2.85,1616.37,61.90,0.60,-0.33,11.80,0.36,12.23,15.90,0.06,1.47,904.09,38.89,91.76,352.05,-0.09,-0.54,0.00,16.83,0.69,-1.30,14.48,12.70,17.74,16.15
Zydus Lifesci.,532321,ZYDUSLIFE,INE010B01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,1072.95,19.90,3.98,107963.88,75.00,6.95,-0.11,11.20,0.12,21.25,21.15,0.46,0.62,27148.40,46.73,7576.60,16914.10,0.00,0.02,0.00,32.22,19.18,17.41,11.04,11.16,10.89,12.45
